feature,importance,cumulative_importance
Symptom_Severity,0.1651095064755074,0.1651095064755074
Overall_Risk_Score,0.08384786413388028,0.24895737060938766
Obesity_ChronicLung,0.0715309183619393,0.320488288971327
Passive Smoker,0.0637854469370214,0.38427373590834835
Coughing of Blood,0.059823022751397045,0.4440967586597454
Obesity,0.05291513310017074,0.49701189175991617
Smoking_Pollution,0.04048237450226593,0.5374942662621821
PassiveSmoker_Pollution,0.03761921586145424,0.5751134821236363
Critical_Symptom_Count,0.0358282771471623,0.6109417592707986
Wheezing,0.03295027762655003,0.6438920368973486
Lifestyle_Risk,0.027721893639577208,0.6716139305369259
Balanced Diet,0.026862612141155807,0.6984765426780817
Alcohol use,0.0243107873264261,0.7227873300045078
Fatigue,0.024036204327560057,0.7468235343320678
Respiratory_Score,0.02294901019529315,0.769772544527361
Snoring,0.018467741082691613,0.7882402856100525
Shortness of Breath,0.016507090123625303,0.8047473757336778
Smoking_squared,0.014580739502848274,0.8193281152365262
Swallowing Difficulty,0.014446757419641817,0.833774872656168
Dust Allergy,0.014421374093488785,0.8481962467496568
Chest Pain,0.01430884154993937,0.8625050882995962
Clubbing of Finger Nails,0.014134777794289108,0.8766398660938852
Environmental_Risk,0.012877025707190707,0.889516891801076
Genetic Risk_squared,0.011750179464710834,0.9012670712657868
Genetic_Health_Risk,0.011460658759336115,0.9127277300251229
Weight Loss,0.010936581774567732,0.9236643117996906
Frequent Cold,0.007896952970404218,0.9315612647700948
Genetic Risk,0.007659716655105383,0.9392209814252002
OccuPational Hazards,0.007418894546756677,0.9466398759719569
Air Pollution_squared,0.007006548628650167,0.953646424600607
chronic Lung Disease,0.0068203996511755245,0.9604668242517825
Smoking,0.006199621241875129,0.9666664454936577
Air Pollution,0.00616453257982733,0.972830978073485
Smoking_Level,0.0060415657379024774,0.9788725438113874
Dry Cough,0.0052948773281611804,0.9841674211395486
Smoking_Age_Interaction,0.0051202613070559745,0.9892876824466046
Pollution_Level,0.004465351467960789,0.9937530339145654
Genetic_Age_Interaction,0.003879097883518401,0.9976321317980837
Age,0.0016217799201232773,0.999253911718207
Age_Group,0.0005612978276133445,0.9998152095458204
Gender,0.0001847904541796735,1.0
